exp.name	strain	spore.strain	spore.species	dose	spores	fixing.date	slide	file	worm.number	area	percent.infected	area.infected	timepoint
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	5	61903.23	10.5	6499.83915	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	6	46407.43	0.26	120.659318	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	7	54186.25	3.22	1744.79725	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	8	51533.95	2.77	1427.490415	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	9	48839.6	21.48	10490.74608	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	10	52935.54	17.98	9517.810092	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	11	77641.42	6.23	4837.060466	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	12	53873.78	8.56	4611.595568	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	13	62807.67	8.9	5589.88263	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	14	52087.16	6.49	3380.456684	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	15	67177.33	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	16	53503.59	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	17	50083.71	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	18	20361.79	48.53	9881.576687	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	19	45851.74	3.88	1779.047512	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	20	68286.23	5.73	3912.800979	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	21	48071.2	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	22	64274.39	5.11	3284.421329	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	23	39713.61	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	24	44976.16	0	0	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	25	44484.78	8.36	3718.927608	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	26	60023.45	2.76	1656.64722	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	27	42517.61	19.42	8256.919862	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	28	57923.54	16.88	9777.493552	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	29	52686.55	13.13	6917.744015	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	30	24819.66	22.38	5554.639908	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	31	38049.01	8.7	3310.26387	72hpi
JU1400-LUAm1-1.8	JU1400	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	JU1400.LUAm1.rep1	32	36415.75	26.51	9653.815325	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	1	77455.09	5.72	4430.431148	72hpi
